id,pond_id,total_seed,started_at,finished_at,area,size,berat,id2,harvested_at,status,,,,,,
19686,36814,312047,11/15/2022 0:00,2/9/2023 0:00,803.84,195,5,15977,1/15/2023,Partial,,,,,,
19686,36814,312047,11/15/2022 0:00,2/9/2023 0:00,803.84,195,2,15978,1/15/2023,Partial,,,,,,
19686,36814,312047,11/15/2022 0:00,2/9/2023 0:00,803.84,195,2.28,15979,1/15/2023,Partial,,,,,,
19686,36814,312047,11/15/2022 0:00,2/9/2023 0:00,803.84,72.4,279.16,16191,2/3/2023,Partial,,,,,,
19686,36814,312047,11/15/2022 0:00,2/9/2023 0:00,803.84,72.4,12,16192,2/3/2023,Partial,,,,,,
19686,36814,312047,11/15/2022 0:00,2/9/2023 0:00,803.84,72.4,20,16197,2/3/2023,Partial,,,,,,
19686,36814,312047,11/15/2022 0:00,2/9/2023 0:00,803.84,175,7.46,16200,2/3/2023,Partial,,,,,,
19686,36814,312047,11/15/2022 0:00,2/9/2023 0:00,803.84,175,0.78,16206,2/3/2023,Partial,,,,,,
19686,36814,312047,11/15/2022 0:00,2/9/2023 0:00,803.84,73.7,759.86,16281,2/9/2023,Full,,,,,,
19686,36814,312047,11/15/2022 0:00,2/9/2023 0:00,803.84,73.7,18.64,16282,2/9/2023,Full,,,,,,
19686,36814,312047,11/15/2022 0:00,2/9/2023 0:00,803.84,190,26.72,16298,2/9/2023,Full,,,,,,
19686,36814,312047,11/15/2022 0:00,2/9/2023 0:00,803.84,190,2.86,16308,2/9/2023,Full,,,,,,
17721,7369,280000,3/17/2023 0:00,5/30/2023 0:00,2800.21,61,315.93,19432,5/30/2023,Full,,,,,,
19307,31463,333400,11/18/2022 0:00,2/3/2023 0:00,2272.05,124.16,420.9,15898,1/23/2023,Partial,,,,,,
19307,31463,333400,11/18/2022 0:00,2/3/2023 0:00,2272.05,124.16,30.88,15899,1/23/2023,Partial,,,,,,
19307,31463,333400,11/18/2022 0:00,2/3/2023 0:00,2272.05,106.19,2373.07,16221,2/3/2023,Full,,,,,,
19307,31463,333400,11/18/2022 0:00,2/3/2023 0:00,2272.05,106.19,199.18,16222,2/3/2023,Full,,,,,,
12359,33526,291195,10/10/2022 0:00,1/31/2023 0:00,1280,94,304.23,15017,12/10/2022,Partial,,,,,,
12359,33526,291195,10/10/2022 0:00,1/31/2023 0:00,1280,94,8.44,15018,12/10/2022,Partial,,,,,,
12359,33526,291195,10/10/2022 0:00,1/31/2023 0:00,1280,79,973.75,15561,12/19/2022,Partial,,,,,,
12359,33526,291195,10/10/2022 0:00,1/31/2023 0:00,1280,79,16.75,15562,12/19/2022,Partial,,,,,,
12359,33526,291195,10/10/2022 0:00,1/31/2023 0:00,1280,94,304.23,15996,12/11/2022,Partial,,,,,,
12359,33526,291195,10/10/2022 0:00,1/31/2023 0:00,1280,94,8.44,15997,12/11/2022,Partial,,,,,,
12359,33526,291195,10/10/2022 0:00,1/31/2023 0:00,1280,39,3797.59,16250,1/31/2023,Full,,,,,,
12359,33526,291195,10/10/2022 0:00,1/31/2023 0:00,1280,39,10,16251,1/31/2023,Full,,,,,,
12359,33526,291195,10/10/2022 0:00,1/31/2023 0:00,1280,39,3,16252,1/31/2023,Full,,,,,,
12359,33526,291195,10/10/2022 0:00,1/31/2023 0:00,1280,67.5,103.86,16253,1/31/2023,Full,,,,,,
12359,33526,291195,10/10/2022 0:00,1/31/2023 0:00,1280,67.5,6,16254,1/31/2023,Full,,,,,,
12359,33526,291195,10/10/2022 0:00,1/31/2023 0:00,1280,39,53.63,16255,1/31/2023,Full,,,,,,
12359,33526,291195,10/10/2022 0:00,1/31/2023 0:00,1280,39,2.6,16256,1/31/2023,Full,,,,,,
18396,18213,300000,4/14/2022 0:00,7/4/2022 0:00,1504,62,255.26,11138,6/18/2022,Partial,,,,,,
18396,18213,300000,4/14/2022 0:00,7/4/2022 0:00,1504,126,16,11139,6/18/2022,Partial,,,,,,
18396,18213,300000,4/14/2022 0:00,7/4/2022 0:00,1504,62,255.26,11239,6/18/2022,,,,,,,
18396,18213,300000,4/14/2022 0:00,7/4/2022 0:00,1504,62,16,11240,6/18/2022,,,,,,,
18396,18213,300000,4/14/2022 0:00,7/4/2022 0:00,1504,46,747.89,12040,7/4/2022,Full,,,,,,
18396,18213,300000,4/14/2022 0:00,7/4/2022 0:00,1504,58,29.27,12041,7/4/2022,Full,,,,,,
14822,12542,246000,5/8/2022 0:00,8/13/2022 0:00,2600,93.55,377.85,12479,7/19/2022,Partial,,,,,,
14822,12542,246000,5/8/2022 0:00,8/13/2022 0:00,2600,71.59,383.87,12480,8/1/2022,Partial,,,,,,
14822,12542,246000,5/8/2022 0:00,8/13/2022 0:00,2600,60,2416.24,12481,8/13/2022,Full,,,,,,
