cycle_id,size,weight,id,harvested_at,status
20671,177,136.8,16639,3/12/2023,Partial
20671,177,136.8,16686,3/12/2023,
20671,140,61.8,16921,3/26/2023,Partial
20671,177,136.8,16974,3/12/2023,
20671,140,61.8,16975,3/26/2023,
20671,177,136.8,17558,3/12/2023,Partial
20671,140,61.8,17560,3/26/2023,Partial
20671,95,534.05,17565,4/17/2023,Full
20671,95,12.8,17566,4/17/2023,Full
18754,130,370,10302,4/16/2022,Partial
18754,128,284,10303,4/18/2022,Full
15836,22.2,3740,18859,6/20/2023,Full
23531,166,816,14468,11/11/2022,Partial
20246,100,272.5,16636,3/12/2023,Partial
20246,71,251.55,16919,3/26/2023,Partial
20246,56,235.85,17176,4/6/2023,Partial
20246,48,892.72,17500,4/17/2023,Full
20246,48,122.87,17501,4/17/2023,Full
21834,210,160,17877,5/10/2023,Partial
21834,110,170,18104,5/21/2023,Full
19855,284,0.41,10440,4/9/2022,Partial
19855,163.1,1.23,10441,4/16/2022,Partial
19855,125.4,1.85,10442,4/23/2022,Partial
19855,101.5,486,10668,5/4/2022,Partial
19855,76.5,2339.65,10679,5/14/2022,Full
18223,675,0,14432,10/20/2022,Failed
19615,102.9,683.3,16026,1/28/2023,Partial
19615,102.9,13.3,16027,1/28/2023,Partial
19615,65,846.2,16378,2/16/2023,Partial
19615,65,4.8,16379,2/16/2023,Partial
19615,43.8,2320.8,16618,3/9/2023,Full
19615,43.8,30.6,16619,3/9/2023,Full
19615,43.8,25,16620,3/9/2023,Full
19615,43.8,14,16628,3/11/2023,FINISIHING
19615,43.8,6,16651,3/11/2023,Full
17632,61,378.5,10465,4/23/2022,Partial
17632,70,10,10466,4/23/2022,Partial
17632,70,43.6,10478,4/23/2022,Partial
17632,45,327.4,10606,5/9/2022,Partial
17632,67,73.05,10607,5/9/2022,Partial
17632,90,19,10608,5/9/2022,Partial
17632,39,340,10766,5/23/2022,Full
17632,33,1,10767,5/23/2022,Full
17632,39,1,10768,5/23/2022,Full
17632,53,7,10769,5/23/2022,Full
17632,53,25,10770,5/23/2022,Full
17632,53,76,10771,5/23/2022,Full
17632,53,76,10781,5/23/2022,Full
17632,39,1,10784,5/23/2022,Full
20075,32.6,675.9,18501,6/6/2023,Full
19957,47,2400,16336,1/6/2023,Full
15819,23.2,5319,17608,4/25/2023,Full
15869,157.21,361.73,16070,1/30/2023,Partial
15869,147.36,688.03,16262,2/7/2023,Full
15869,280,122.44,16263,2/7/2023,Full
18670,68.94,4505.16,9387,1/5/2022,Full
